Variables,Category,Short.term.EU,Medium.term.EU,Long.term.Z.1,Short.term.RoW,Medium.term.RoW,Long.term. RoW
Gross Output,Economic,0%,-3.30%,-2%,0.10%,-0.70%,-1.10%
GDP (value added),Economic,1.70%,-0.30%,2.00%,0.30%,-0.20%,-0.60%
Consumer Price Index,Economic,3.80%,5.70%,6.80%,0.50%,0.80%,0.90%
Government balance to GDP,Economic,-0.2 p.p.,0.7 p.p.,2.2 p.p.,-0.0 p.p.,-0.4 p.p.,- 0.8 p.p.
Current Account Balance to GDP,Economic,0.5 p.p.,1.9 p.p.,2.9 p.p.,-0.1 p.p.,-0.5 p.p.,-0.8 p.p.
Corporate Demand for Loans,Economic,38.90%,14.10%,-24.2,1.80%,2.30%,7.10%
Household Demand for Loans,Economic,3.70%,5.40%,7.10%,0.50%,6.20%,11.10%
Total Employment,Social,0.60%,-2.60%,-1.20%,0.10%,-0.70%,-1.20%
Female Employment,Social,0.60%,-2.60%,-1.20%,0.10%,-0.70%,-1.20%
Labour Share of Income,Social,-0.4 p.p.,-0.7 p.p.,-0.9 p.p.,-0.0 p.p.,0.1 p.p.,0.0 p.p.
CO2 eq. Emissions,Ecological,0.20%,0%,1.70%,0.10%,-0.70%,-1.20%
Domestic Material Extraction,Ecological,-0.80%,-3.20%,-2.30%,0.10%,-0.80%,-1.20%
Total Waste,Ecological,0%,-3.40%,-2.10%,0.10%,-0.70%,-1.10%
