"input_region","input_sector","input_num","output_region","output_sector","value","output_num","input_label","output_label"
"EU","Agriculture",1,"EU","Agriculture",0.0402201558538603,1,"Agriculture","Agriculture"
"EU","Agriculture",1,"EU","Animal.Farming",0.0990555705607216,2,"Agriculture","Animal Farming"
"EU","Agriculture",1,"EU","Forestry,.logging.and.related.service.activities.(02)",0.00889059058945885,3,"Agriculture","Forestry, Logging"
"EU","Agriculture",1,"EU","Fishing,.operating.of.fish.hatcheries.and.fish.farms;.service.activities.incidental.to.fishing.(05)",0.00174469893629308,4,"Agriculture","Fishing"
"EU","Agriculture",1,"EU","Extraction.of.Fossil-Fuels",0.000214547889250405,5,"Agriculture","Fossil-Fuel Extraction"
"EU","Agriculture",1,"EU","Mining.&.Quarrying.of.raw.materials",0.000333754833402851,6,"Agriculture","Mining"
"EU","Agriculture",1,"EU","Processing.of.meat",0.0299060397788522,7,"Agriculture","Meat"
"EU","Agriculture",1,"EU","Processing.of.other.food&beverage",0.100681269890421,8,"Agriculture","Other Food"
"EU","Agriculture",1,"EU","Manufacture.of.tobacco.products.(16)",0.0275594264955212,9,"Agriculture","Tobacco"
"EU","Agriculture",1,"EU","Manufacture.of.textiles",0.00209892841279313,10,"Agriculture","Textiles"
"EU","Agriculture",1,"EU","Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)",0.000422256682375286,11,"Agriculture","Wood"
"EU","Agriculture",1,"EU","Re-processing.of.secondary.wood.material.into.new.wood.material",0.000539932832509149,12,"Agriculture","Wood Re-processing"
"EU","Agriculture",1,"EU","Pulp",0.000438945042555705,13,"Agriculture","Pulp"
"EU","Agriculture",1,"EU","Re-processing.of.secondary.paper.into.new.pulp",0.000397979879539093,14,"Agriculture","Pulp Re-processing"
"EU","Agriculture",1,"EU","Paper",0.000213688398941609,15,"Agriculture","Paper"
"EU","Agriculture",1,"EU","Processing.of.Fossil.Fuels",0.000245893379768949,16,"Agriculture","Fossil-Fuel Processing"
"EU","Agriculture",1,"EU","Plastics,.basic",0.00226053769825787,17,"Agriculture","Plastics"
"EU","Agriculture",1,"EU","Re-processing.of.secondary.plastic.into.new.plastic",0.0028010486550741,18,"Agriculture","Plastics Re-processing"
