"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",0.2,0.23,0.25,-0.01,-0.01,-0.02
"Macroeconomic","va",0.03,0.05,0.06,-0.02,-0.02,-0.02
"Macroeconomic","go",-0.02,0,0.01,-0.01,-0.01,-0.02
"Macroeconomic","id",-0.08,-0.01,0,-0.01,-0.01,-0.02
"Macroeconomic","gdef",-21.87,-125.3,-1906.87,108.5,-267.06,-145.99
"Macroeconomic","cab",2.94,2.53,3.29,2.94,2.53,3.29
"Macroeconomic","tb",1.41,1.08,0.98,1.41,1.08,0.98
"Social","n",0.02,0.04,0.05,-0.01,-0.01,-0.02
"Social","nf",0.02,0.04,0.05,-0.01,-0.01,-0.02
"Social","shp",0.06,0.08,0.09,-0.01,-0.01,-0.01
"Social","shw",-0.03,-0.05,-0.05,0.01,0,0
"Debt.and.Wealth","lh",0,0,0.01,0,0,0
"Debt.and.Wealth","lf",-0.27,-0.31,-0.34,0,-0.01,-0.02
"Debt.and.Wealth","v",0.05,0.07,0.11,-0.01,-0.01,-0.02
"Debt.and.Wealth","k",-0.02,-0.01,0,0,-0.01,-0.02
"Debt.and.Wealth","b_s",0.03,-0.03,-0.24,0.01,0.03,0.09
"Ecological","x_mat",-1.26,-1.24,-1.23,-0.05,-0.05,-0.05
"Ecological","land",-1.79,-1.77,-1.76,-0.03,-0.03,-0.03
"Ecological","mat",-0.02,0.01,0.02,-0.01,-0.01,-0.02
"Ecological","rec",-3.04,-3.03,-3.01,-0.12,-0.12,-0.12
"Ecological","emis",-1.79,-1.77,-1.76,-0.03,-0.03,-0.03
"Ecological","wa",-0.03,-0.01,0,-0.01,-0.01,-0.02
"Ecological","water",-1.79,-1.77,-1.76,-0.03,-0.03,-0.03
