region,sector,Gross Output,Material extraction coeff,Energy use coeff,Male employment share,Female employment share,Wage rate,Productivity
EU,Agriculture,218887.7436,4.676286348,3.047329143,0.6215102,0.3784898,4.268433265,0.035245637
EU,Animal Farming,163951.0224,5.687747314,3.687656174,0.617228024,0.382771976,4.167046538,0.051655934
EU,"Forestry, logging and related service activities (02)",40586.44011,7.628251006,4.510644429,0.643218555,0.356781445,8.260806397,0.056814843
EU,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",14507.48961,0.423446446,3.966847575,0.646465984,0.353534016,5.35257291,0.02845947
EU,Extraction of Fossil-Fuels,61198.1498,70.48267828,27.70884423,0.881515006,0.118484994,31.23770704,0.136623132
EU,Mining & Quarrying of raw materials,61245.84181,56.25661788,5.206508566,0.877621686,0.122378314,46.71090085,0.255002971
EU,Processing of meat,376131.6073,0.006449583,1.086146423,0.52996309,0.47003691,30.72953449,0.186160034
EU,Processing of other food&beverage,498580.8078,0.003811575,1.385612902,0.556175172,0.443824828,29.91309573,0.230146944
EU,Manufacture of tobacco products (16),20139.98303,0.0001103,3.47512706,0.530955626,0.469044374,38.42425942,0.247019618
EU,Manufacture of textiles,273001.1037,0.00043732,0.785941878,0.29441277,0.70558723,25.10272737,0.106758003
EU,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",105316.999,0.024310365,2.890634967,0.802433677,0.197566323,24.97142772,0.133523432
EU,Re-processing of secondary wood material into new wood material,35176.60878,0.01479444,2.056224364,0.814248577,0.185751423,31.02886673,0.139242493
EU,Pulp,17166.99958,0.010367031,13.41556508,0.667006213,0.332993787,21.27102167,0.143725124
EU,Re-processing of secondary paper into new pulp,34060.89255,0.001062251,5.855777259,0.752306115,0.247693885,35.20258552,0.289242099
EU,Paper,335172.7306,0.002444142,3.240878213,0.620422364,0.379577636,47.4464199,0.226119887
EU,Processing of Fossil Fuels,336920.9882,0.006328179,116.3592782,0.723144427,0.276855573,49.72095328,1.616973572
EU,"Plastics, basic",256142.5289,0.15903421,16.82133388,0.718400017,0.281599983,78.90478978,0.395109221
EU,Re-processing of secondary plastic into new plastic,65576.0168,0.184592771,8.805368611,0.696338441,0.303661559,72.17735662,0.447553395
EU,Manufacture of Chemicals,127696.2763,0.060532496,8.766355861,0.644160284,0.355839716,8.70720493,0.11215867
EU,Manufacture of rubber and plastic products (25),254363.6973,0.001711776,0.648897629,0.696971261,0.303028739,41.40869282,0.217860731
EU,Manufacture of glass and glass products,24056.56491,1.147971427,6.74098736,0.743279763,0.256720237,31.13964686,0.181924966
EU,Re-processing of secondary glass into new glass,9127.748127,1.286260004,9.331217165,0.757671929,0.242328071,36.38197957,0.151408515
EU,Manufacture of other non-metallic mineral products,76632.45265,1.157363168,9.670759246,0.766256668,0.233743332,35.21234934,0.14702957
EU,"Manufacture of cement, lime and plaster",95846.67022,1.019760284,6.377968046,0.758345761,0.241654239,34.61897137,0.174173335
EU,Re-processing of ash into clinker,24357.20133,0.780806514,7.776180747,0.804520202,0.195479798,39.18066417,0.200743206
EU,Manufacture of Metals,273867.322,0.058906335,4.250529021,0.856284373,0.143715627,43.00361855,0.341493268
EU,Re-processing of Metals,110830.7249,0.045769207,6.32902113,0.878641265,0.121358735,41.09104109,0.340533124
EU,Manufacture of durable goods,2678132.343,0.005799116,0.56897599,0.768164235,0.231835765,51.31745415,0.221809957
EU,Manufacture of furniture; manufacturing n.e.c. (36),185338.6178,0.014522212,1.800493626,0.669955754,0.330044246,21.76247803,0.078501802
EU,Recycling,34354.31122,0.168112179,15.07065581,0.712281839,0.287718161,41.07163965,0.203003199
EU,Production of electricity by fossil fuels,220995.4858,0.158192572,75.45653223,0.77795358,0.22204642,52.16877572,0.495834477
EU,Production of electricity by renewable energy,48109.69375,0.03149496,27.23638207,0.783573896,0.216426104,57.94263082,0.750519491
EU,Transmission & Distribution,239550.0458,0.143728141,1.313487539,0.776108716,0.223891284,53.70140062,0.895480615
EU,Manufacture of gas; distribution of gaseous fuels through mains,153623.3026,0.170306346,12.1454621,0.778570494,0.221429506,62.77499981,0.337501083
EU,Water,98167.47066,0.432763471,67.69726219,0.792222018,0.207777982,35.8465755,0.225023663
EU,Construction (45),1595103.986,0.051084523,0.275862893,0.910885789,0.089114211,27.87007163,0.118276885
EU,Re-processing of secondary construction material into aggregates,1932.673607,0.122644359,64.61101324,0.894575721,0.105424279,33.02819231,0.068179903
EU,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",286671.1381,0.000100327,0.60171387,0.510361349,0.489638651,30.17895685,0.060582755
EU,Retail sale of automotive fuel,32057.96016,0.000348804,0.960167142,0.511888396,0.488111604,11.55475666,0.052785561
EU,Retail & Wholesale trade,1059252.034,0.03811411,0.291871047,0.500560189,0.499439811,19.02035782,0.047559378
EU,Leisure Services,1117642.971,0.000987985,0.754190758,0.461534767,0.538465233,34.40420633,0.096543025
EU,Transport,1532830.286,0.023379535,4.461865781,0.778639125,0.221360875,47.852759,0.169878624
EU,KIBS,3334041.502,0.000939464,0.433105287,0.526731657,0.473268343,35.71827211,0.119024392
EU,Real estate activities (70),1458481.613,0.001652709,0.291678,0.488267713,0.511732287,39.75087152,0.959143314
EU,Renting of machinery and equipment without operator and of personal and household goods (71),194342.3584,0.002654348,0.457126283,0.476446369,0.523553631,34.69106211,0.390910281
EU,Research and development (73),132872.9426,0.001613193,0.588690206,0.52393747,0.47606253,23.544465,0.055269629
EU,Public administration and defence; compulsory social security (75),953974.1394,0.00474619,0.669265522,0.544123986,0.455876014,36.96365973,0.074486383
EU,Education (80),639826.3586,0.000211696,0.773194154,0.288767993,0.711232007,34.34174655,0.049769788
EU,Health and social work (85),1082605.84,6.02601E-05,0.863294807,0.219593159,0.780406841,29.37646525,0.056390502
EU,Incineration of Waste,71360.14745,0.005842656,3.985571922,0.806443137,0.193556863,35.44571659,0.173166953
EU,Biogas & Composting,27665.63113,0.019007518,1.015592229,0.800231398,0.199768602,33.58851757,0.157530927
EU,Waste water,15789.35487,0.027828014,1.121071769,0.791075568,0.208924432,26.22938133,0.124508291
EU,Landfill of Waste,34537.70577,0.03504251,0.612229432,0.797730199,0.202269801,27.58461265,0.11122554
EU,Other Services,396222.4154,0.001192794,1.06120195,0.245908243,0.754091757,25.8212639,0.052693222
RoW,Agriculture,1877848.276,6.285084782,3.573420753,0.656311572,0.343688428,0.960251207,0.003040661
RoW,Animal Farming,949837.4247,11.20366949,3.165264836,0.660757156,0.339242844,0.994704655,0.004405516
RoW,"Forestry, logging and related service activities (02)",219031.6722,11.37626023,8.450439983,0.645773206,0.354226794,1.600155444,0.004682901
RoW,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",300118.5935,0.381760864,0.898661415,0.70626511,0.29373489,1.175892886,0.001827974
RoW,Extraction of Fossil-Fuels,2436140.737,16.89317759,11.17780331,0.752747913,0.247252087,5.25287155,0.046437104
RoW,Mining & Quarrying of raw materials,814746.768,59.0845615,7.470764217,0.731343312,0.268656688,4.558706969,0.024308256
RoW,Processing of meat,1294328.695,0.059388794,2.773766829,0.647650975,0.352349025,7.320429531,0.081818575
RoW,Processing of other food&beverage,2002503.489,0.127636528,2.330670096,0.65208172,0.34791828,8.455307408,0.074042717
RoW,Manufacture of tobacco products (16),150424.5162,0.000688927,13.05320468,0.336557526,0.663442474,5.436501858,0.081963565
RoW,Manufacture of textiles,1626895.908,0.003331943,4.105574897,0.554874215,0.445125785,5.664884515,0.037503669
RoW,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",280650.1561,0.022233881,9.367505925,0.837648354,0.162351646,6.106080302,0.042868562
RoW,Re-processing of secondary wood material into new wood material,16853.69415,0.030703756,12.90773394,0.867686987,0.132313013,14.30078961,0.057617229
RoW,Pulp,47744.4047,0.039004168,15.34244703,0.770814143,0.229185857,5.42787758,0.051490446
RoW,Re-processing of secondary paper into new pulp,9105.801052,1.578E-06,45.13463425,0.785683345,0.214316655,50.12298078,0.174937328
RoW,Paper,1224017.533,0.00487494,5.29743719,0.724594917,0.275405083,9.44289171,0.048786567
RoW,Processing of Fossil Fuels,1797937.397,0.01243826,119.9115283,0.912582877,0.087417123,6.827193542,0.182670721
RoW,"Plastics, basic",264315.4961,0.024773482,69.43253526,0.743900215,0.256099785,7.128359972,0.084221116
RoW,Re-processing of secondary plastic into new plastic,6485.45849,0.001206506,713.0698635,0.816438224,0.183561776,70.57218217,0.368988896
RoW,Manufacture of Chemicals,2377557.31,0.024952052,9.058046219,0.796299613,0.203700387,9.431400213,0.130262533
RoW,Manufacture of rubber and plastic products (25),1122528.739,0.004316232,2.313441883,0.711973112,0.288026888,5.647745796,0.028773888
RoW,Manufacture of glass and glass products,268472.7451,0.033757534,5.414579419,0.800544666,0.199455334,7.068908441,0.067479361
RoW,Re-processing of secondary glass into new glass,2131.478474,0.108582801,167.3293933,0.872240041,0.127759959,20.82581774,0.071398866
RoW,Manufacture of other non-metallic mineral products,499645.3596,0.069783543,14.72815239,0.814435479,0.185564521,5.867230654,0.041692231
RoW,"Manufacture of cement, lime and plaster",227501.7458,0.164258703,28.99301708,0.831427484,0.168572516,6.775381008,0.047190656
RoW,Re-processing of ash into clinker,3438.657311,0.065526619,254.4725807,0.798041195,0.201958805,41.60520076,0.266838612
RoW,Manufacture of Metals,2471482.476,0.019702217,8.889895927,0.921729516,0.078270484,6.065691528,0.073138521
RoW,Re-processing of Metals,61732.19334,0.155796441,85.83513258,0.893862911,0.106137089,26.99089746,0.302234188
RoW,Manufacture of durable goods,10210114.38,0.003566975,1.272422278,0.753500785,0.246499215,7.920104054,0.047959354
RoW,Manufacture of furniture; manufacturing n.e.c. (36),858984.0659,0.008797255,4.250435072,0.771233598,0.228766402,6.353398828,0.037764801
RoW,Recycling,73368.44679,0.052941301,20.51459539,0.689555142,0.310444858,6.669515572,0.026432751
RoW,Production of electricity by fossil fuels,922405.434,0.024420652,149.8577219,0.8469206,0.1530794,11.98755831,0.065090601
RoW,Production of electricity by renewable energy,182990.2104,0.046989724,36.42841322,0.838733758,0.161266242,8.494985804,0.075705884
RoW,Transmission & Distribution,689026.0357,0.019936018,0.919313592,0.868909394,0.131090606,12.27645788,0.123854729
RoW,Manufacture of gas; distribution of gaseous fuels through mains,244688.9706,0.032716486,67.12168905,0.873495096,0.126504904,6.895369674,0.046700797
RoW,Water,193812.9215,0.026370041,102.3940449,0.861272434,0.138727566,5.920125581,0.046547364
RoW,Construction (45),6042963.639,0.019710471,0.77213521,0.898514763,0.101485237,8.861013121,0.037466402
RoW,Re-processing of secondary construction material into aggregates,471.3035633,0.001356115,1459.229366,0.889427092,0.110572908,25.81735916,0.063465466
RoW,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1204309.9,0.011792783,0.245484987,0.544273015,0.455726985,14.2389895,0.024967342
RoW,Retail sale of automotive fuel,32091.62086,0.178455322,10.93824464,0.539043244,0.460956756,6.143922562,0.036539188
RoW,Retail & Wholesale trade,3432603.421,0.037297672,0.433074788,0.539728814,0.460271186,7.111442335,0.017231056
RoW,Leisure Services,3890335.754,0.001391124,0.606213229,0.516294305,0.483705695,12.6563285,0.032863087
RoW,Transport,4103364.39,0.025648001,6.341319105,0.856190236,0.143809764,11.02979082,0.036588639
RoW,KIBS,11482504.06,0.00022617,0.51215954,0.629254991,0.370745009,24.10195063,0.074589142
RoW,Real estate activities (70),4234690.911,6.61556E-05,0.673405228,0.608593541,0.391406459,20.29403098,0.459119214
RoW,Renting of machinery and equipment without operator and of personal and household goods (71),707994.2988,0.001621377,0.615602415,0.592971588,0.407028412,25.13454973,0.246555333
RoW,Research and development (73),562378.2881,0.007456531,1.383229076,0.619767725,0.380232275,12.23225974,0.026196637
RoW,Public administration and defence; compulsory social security (75),5547962.972,0.004821425,1.165393863,0.668031201,0.331968799,19.20902609,0.040418123
RoW,Education (80),1760247.848,0.00137881,1.222748264,0.463756674,0.536243326,11.56013924,0.019105575
RoW,Health and social work (85),3586022.39,0.000384933,0.958618945,0.362571018,0.637428982,12.78658195,0.043832825
RoW,Incineration of Waste,84878.94849,0.002483576,9.599070377,0.818801655,0.181198345,39.52459455,0.127390543
RoW,Biogas & Composting,45775.27629,0.010534241,1.509701428,0.81115986,0.18884014,34.87430973,0.142777799
RoW,Waste water,197794.7801,0.00025152,1.649669419,0.929217496,0.070782504,6.768507489,0.020095246
