"region","sector","impact","total_value","output","unit","value"
"EU","Agriculture","Emissions",124503242528.53,254900,"ton GHG per million USD output",2.04733623657704e-06
"EU","Agriculture","Extraction",1023570.34279991,254900,"ton per million USD output",0.249030271141638
"EU","Agriculture","Land",1001476.19054197,254900,"ha per million USD output",0.254524273674501
"EU","Agriculture","Water",468116.136119554,254900,"ton per million USD output",0.544522994043726
"EU","Animal Farming","Emissions",367433901824.021,285268,"ton GHG per million USD output",7.76379094536102e-07
"EU","Animal Farming","Extraction",932504.454433275,285268,"ton per million USD output",0.305915964952007
"EU","Animal Farming","Land",516386.202680502,285268,"ha per million USD output",0.552431491235061
"EU","Animal Farming","Water",2374.87803787802,285268,"ton per million USD output",120.119010513437
"EU","Biogas & Composting","Emissions",6218421860.90086,158827,"ton GHG per million USD output",2.55413678185209e-05
"EU","Biogas & Composting","Extraction",358.763360291,158827,"ton per million USD output",442.706858000138
"EU","Biogas & Composting","Land",27.989424081,158827,"ha per million USD output",5674.53619411255
"EU","Biogas & Composting","Water",2.77528159746,158827,"ton per million USD output",57229.1475378073
"EU","Construction (45)","Emissions",31609437689.329,31956,"ton GHG per million USD output",1.01096388724397e-06
"EU","Construction (45)","Extraction",80668.733168272,31956,"ton per million USD output",0.396138612135398
"EU","Construction (45)","Land",1611.547842621,31956,"ha per million USD output",19.8293833759395
"EU","Construction (45)","Water",86.97467412,31956,"ton per million USD output",367.417300764012
"EU","Education (80)","Emissions",9476387186.6118,31892,"ton GHG per million USD output",3.36541757654825e-06
"EU","Education (80)","Extraction",135.446626037,31892,"ton per million USD output",235.45806147499
"EU","Education (80)","Land",472.005063055,31892,"ha per million USD output",67.5670718309304
"EU","Education (80)","Water",29.177236936,31892,"ton per million USD output",1093.04387080774
"EU","Extraction of Fossil-Fuels","Emissions",157315330251.879,158115,"ton GHG per million USD output",1.0050832283595e-06
"EU","Extraction of Fossil-Fuels","Extraction",3662051.51807245,158115,"ton per million USD output",0.0431766181386834
"EU","Extraction of Fossil-Fuels","Land",1.745375517,158115,"ha per million USD output",90590.8204050968
"EU","Extraction of Fossil-Fuels","Water",17.529475739,158115,"ton per million USD output",9019.95030280466
"EU","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","Emissions",4043804147.05795,31542,"ton GHG per million USD output",7.80008102591918e-06
"EU","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","Extraction",256.940940583,31542,"ton per million USD output",122.759728085493
"EU","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","Land",210.116169272,31542,"ha per million USD output",150.11695724934
"EU","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","Water",100.727410647,31542,"ton per million USD output",313.142170511453
"EU","Forestry, logging and related service activities (02)","Emissions",8124000208.69591,31515,"ton GHG per million USD output",3.8792465768608e-06
"EU","Forestry, logging and related service activities (02)","Extraction",309557.086771164,31515,"ton per million USD output",0.101806746951644
"EU","Forestry, logging and related service activities (02)","Land",1269107.71367517,31515,"ha per million USD output",0.0248324075729842
"EU","Forestry, logging and related service activities (02)","Water",2739.208831587,31515,"ton per million USD output",11.5051469010274
"EU","Health and social work (85)","Emissions",16946694763.26,31919,"ton GHG per million USD output",1.88349412353845e-06
"EU","Health and social work (85)","Extraction",65.237928337,31919,"ton per million USD output",489.270594785227
"EU","Health and social work (85)","Land",129.749285963,31919,"ha per million USD output",246.005207374337
"EU","Health and social work (85)","Water",159.776506537,31919,"ton per million USD output",199.772799467288
"EU","Incineration of Waste","Emissions",14472132159.4477,222777,"ton GHG per million USD output",1.5393516141612e-05
"EU","Incineration of Waste","Extraction",400.720512553,222777,"ton per million USD output",555.941093658227
"EU","Incineration of Waste","Land",63.458094844,222777,"ha per million USD output",3510.61595132435
"EU","Incineration of Waste","Water",9.9978386312816,222777,"ton per million USD output",22282.5160733208
"EU","KIBS","Emissions",65670010670.3807,190272,"ton GHG per million USD output",2.8973956004825e-06
"EU","KIBS","Extraction",3110.391590472,190272,"ton per million USD output",61.1730048984367
"EU","KIBS","Land",1015.526979215,190272,"ha per million USD output",187.362821366971
"EU","KIBS","Water",349.41241505,190272,"ton per million USD output",544.548481406342
"EU","Landfill of Waste","Emissions",197681489591.467,190113,"ton GHG per million USD output",9.61713716306427e-07
"EU","Landfill of Waste","Extraction",1044.648818378,190113,"ton per million USD output",181.987474312357
"EU","Landfill of Waste","Land",93.052618449,190113,"ha per million USD output",2043.06985841776
"EU","Landfill of Waste","Water",11.2567095137,190113,"ton per million USD output",16888.8607961876
"EU","Leisure Services","Emissions",18551062431.2622,63569,"ton GHG per million USD output",3.42670400876198e-06
"EU","Leisure Services","Extraction",1104.153420853,63569,"ton per million USD output",57.5726151814035
"EU","Leisure Services","Land",4662.649864909,63569,"ha per million USD output",13.6336636551715
"EU","Leisure Services","Water",76.267307545,63569,"ton per million USD output",833.502611357984
"EU","Manufacture of Chemicals","Emissions",36456090479.0467,94923,"ton GHG per million USD output",2.60376246472609e-06
"EU","Manufacture of Chemicals","Extraction",7569.0348301973,94923,"ton per million USD output",12.5409648825101
"EU","Manufacture of Chemicals","Land",60.160193985,94923,"ha per million USD output",1577.83733250042
"EU","Manufacture of Chemicals","Water",996.199462252,94923,"ton per million USD output",95.2851347514461
