,,,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,EU,EU,EU,EU,RoW,RoW,RoW,RoW,"INTERMEDIATE
DEMAND (ID)","FINAL
DEMAND (FD)","AGGREGATE
DEMAND
(D = ID + FD)",
,,,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,,,,
,,,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),,,,
EU,Sector,Agriculture,0.040,0.099,0.009,0.002,0.000,0.000,0.030,0.101,0.028,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.003,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.006,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.002,,0.000,0.000,0.000,,0.023,0.002,0.004,
EU,Sector,Animal Farming,0.000,0.009,0.000,0.000,0.000,0.000,0.222,0.059,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.004,,0.000,0.000,0.000,,0.024,0.001,0.003,
EU,Sector,"Forestry, logging and related service activities (02)",0.000,0.002,0.217,0.000,0.001,0.001,0.000,0.001,0.003,0.000,0.112,0.003,0.044,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,,0.000,0.000,0.000,,0.006,0.000,0.001,
EU,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",0.000,0.000,0.000,0.030,0.000,0.000,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,,0.000,0.000,0.000,,0.001,0.000,0.000,
EU,Sector,Extraction of Fossil-Fuels,0.001,0.001,0.001,0.000,0.030,0.003,0.000,0.000,0.001,0.002,0.003,0.002,0.006,0.002,0.000,0.035,0.002,0.001,0.006,0.001,0.002,0.005,0.003,0.003,0.003,0.007,0.003,0.000,0.002,0.001,0.069,0.001,0.001,0.017,0.018,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,,0.000,0.000,0.000,,0.010,0.000,0.001,
EU,Sector,Mining & Quarrying of raw materials,0.001,0.001,0.000,0.004,0.001,0.061,0.001,0.001,0.000,0.000,0.000,0.000,0.007,0.009,0.001,0.000,0.002,0.002,0.011,0.001,0.047,0.003,0.048,0.065,0.065,0.025,0.003,0.001,0.001,0.002,0.001,0.000,0.001,0.002,0.001,0.010,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,,0.000,0.000,0.000,,0.011,0.000,0.001,
EU,Sector,Processing of meat,0.000,0.061,0.001,0.012,0.000,0.002,0.069,0.050,0.002,0.002,0.000,0.000,0.001,0.001,0.001,0.000,0.002,0.003,0.002,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.021,0.001,0.001,0.000,0.001,0.003,0.001,0.002,0.005,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.001,,0.001,0.000,0.000,,0.023,0.005,0.006,
EU,Sector,Processing of other food&beverage,0.000,0.133,0.001,0.013,0.000,0.002,0.056,0.075,0.002,0.006,0.001,0.001,0.001,0.001,0.001,0.000,0.008,0.007,0.010,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.003,0.001,0.024,0.001,0.001,0.000,0.001,0.002,0.002,0.003,0.006,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.002,,0.002,0.000,0.000,,0.030,0.007,0.009,
