sector_j,mario_name,F11_hh,F11_gov,F11_gfcf,F21_RoW_hh,F21_RoW_gov,F21_RoW_gfcf,eta_RoW_hh,eta_RoW_gov,eta_RoW_gfcf,kappa_RoW,lambda_RoW
1,Agriculture,86708.1622,772.0846,4035.6257,33630.6851,182.3929,1595.8359,0.27947,0.19109,0.28338,0.6838,1.014
2,Animal Farming,31069.7501,338.3578,10212.0432,2240.8765,73.5229,348.4082,0.06727,0.17851,0.03299,2.6536,0.4904
3,"Forestry, logging and related service activities (02)",6546.6653,345.7652,4631.7332,230.6586,12.2982,116.1804,0.03403,0.03435,0.02447,1.0094,0.7191
4,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",9300.7622,6.6649,95.6599,3144.3506,5.5108,31.2027,0.25266,0.4526,0.24596,1.7913,0.9735
5,Extraction of Fossil-Fuels,5227.7755,445.4227,5953.6768,2416.9352,392.3855,21083.1172,0.31616,0.46835,0.77979,1.4814,2.4664
6,Mining & Quarrying of raw materials,1586.9032,114.5486,3317.4548,1524.6505,192.7505,1311.6432,0.49,0.62724,0.28335,1.2801,0.5783
7,Processing of meat,231893.0247,829.8408,2721.3509,8628.2125,107.1412,335.0261,0.03587,0.11435,0.10962,3.1879,3.056
8,Processing of other food&beverage,302148.2412,778.8925,3807.3481,20162.3871,72.0743,365.4667,0.06256,0.0847,0.08758,1.3539,1.3999
9,Manufacture of tobacco products (16),12663.3489,29.1559,932.3822,760.1497,3.0885,24.4504,0.05663,0.09578,0.02555,1.6913,0.4512
10,Manufacture of textiles,135292.598,755.8404,4510.4066,60382.6285,88.9599,991.2178,0.30859,0.1053,0.18017,0.3412,0.5838
11,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",10427.4118,84.3934,8824.3183,1071.3363,5.6982,437.574,0.09317,0.06325,0.04724,0.6789,0.507
12,Re-processing of secondary wood material into new wood material,3737.491,31.3535,3211.0441,61.5877,0.3505,18.8244,0.01621,0.01106,0.00583,0.6823,0.3597
13,Pulp,283.1015,97.1784,676.7076,23.0699,5.6835,209.7316,0.07535,0.05525,0.2366,0.7332,3.14
14,Re-processing of secondary paper into new pulp,485.0256,136.4354,1487.3766,63.916,0.526,64.7006,0.11643,0.00384,0.04169,0.033,0.3581
15,Paper,91760.8987,1536.9286,9955.6999,4446.728,42.0809,544.4275,0.04622,0.02665,0.05185,0.5766,1.1218
16,Processing of Fossil Fuels,124631.1505,839.3827,8199.3541,22376.5596,644.7114,3931.8555,0.15221,0.43441,0.32411,2.854,2.1294
17,"Plastics, basic",11134.4262,118730.8603,7390.5922,444.543,4178.3381,572.2117,0.03839,0.034,0.07186,0.8856,1.8718
