"shock","domain","sector","transaction","shift","from","to","mechanism","conserved","display_name","shock_vars","shock_sectors","rds_file","table_file"
1,"Final Demand","Household","Consumption","Food",7,8,"Final demand reallocation","Total food expenditure","Scenario 1 | Final Demand | Household Consumption | Food Shift","beta-7,beta-8","7,8","data/scenarios/shock_runs/shock_1_run.RDS","data/scenarios/shock_tables/shock_1_table.csv"
2,"Final Demand","Household","Consumption","Energy",31,32,"Final demand reallocation","Energy service demand","Scenario 2 | Final Demand | Household Consumption | Energy Shift","beta-31,beta-32","31,32","data/scenarios/shock_runs/shock_2_run.RDS","data/scenarios/shock_tables/shock_2_table.csv"
3,"Final Demand","Government","Consumption","Cement",24,25,"Final demand reallocation","","Scenario 3 | Final Demand | Government Consumption | Cement Shift","","","data/scenarios/shock_runs/shock_3_run.RDS","data/scenarios/shock_tables/shock_3_table.csv"
4,"Final Demand","Government","Consumption","Plastics",17,18,"Final demand reallocation","","Scenario 4 | Final Demand | Government Consumption | Plastics Shift","","","data/scenarios/shock_runs/shock_4_run.RDS","data/scenarios/shock_tables/shock_4_table.csv"
5,"Final Demand","Firm","Investment","Cement",24,25,"Final demand reallocation","","Scenario 5 | Final Demand | Firm Investment | Cement Shift","","","data/scenarios/shock_runs/shock_5_run.RDS","data/scenarios/shock_tables/shock_5_table.csv"
6,"Final Demand","Firm","Investment","Plastics",17,18,"Final demand reallocation","Total wood material input","Scenario 6 | Final Demand | Firm Investment | Plastics Shift",NA,NA,"data/scenarios/shock_runs/shock_6_run.RDS","data/scenarios/shock_tables/shock_6_table.csv"
7,"Intermediate Demand","Firm","Production","Wood",11,12,"Technical coefficient change","Paper output","Scenario 7 | Intermediate Demand | Firm Production | Wood Shift",NA,NA,"data/scenarios/shock_runs/shock_7_run.RDS","data/scenarios/shock_tables/shock_7_table.csv"
8,"Intermediate Demand","Firm","Production","Pulp",13,14,"Technical coefficient change","Plastic product output","Scenario 8 | Intermediate Demand | Firm Production | Pulp Shift",NA,NA,"data/scenarios/shock_runs/shock_8_run.RDS","data/scenarios/shock_tables/shock_8_table.csv"
9,"Intermediate Demand","Firm","Production","Plastics",17,18,"Technical coefficient change","Metal product output","Scenario 9 | Intermediate Demand | Firm Production | Plastics Shift",NA,NA,"data/scenarios/shock_runs/shock_9_run.RDS","data/scenarios/shock_tables/shock_9_table.csv"
10,"Intermediate Demand","Firm","Production","Metal",26,27,"Technical coefficient change","Glass product output","Scenario 10 | Intermediate Demand | Firm Production | Metal Shift",NA,NA,"data/scenarios/shock_runs/shock_10_run.RDS","data/scenarios/shock_tables/shock_10_table.csv"
11,"Intermediate Demand","Firm","Production","Glass",21,22,"Technical coefficient change","Cementitious output","Scenario 11 | Intermediate Demand | Firm Production | Glass Shift",NA,NA,"data/scenarios/shock_runs/shock_11_run.RDS","data/scenarios/shock_tables/shock_11_table.csv"
12,"Intermediate Demand","Firm","Production","Cement",24,25,"Technical coefficient change","Energy service to production","Scenario 12 | Intermediate Demand | Firm Production | Cement Shift",NA,NA,"data/scenarios/shock_runs/shock_12_run.RDS","data/scenarios/shock_tables/shock_12_table.csv"
13,"Intermediate Demand","Firm","Production","Energy",31,32,"Technical coefficient change","Construction output","Scenario 13 | Intermediate Demand | Firm Production | Energy Shift",NA,NA,"data/scenarios/shock_runs/shock_13_run.RDS","data/scenarios/shock_tables/shock_13_table.csv"
14,"Intermediate Demand","Firm","Production","Construction",36,27,"Technical coefficient change","","Scenario 14 | Intermediate Demand | Firm Production | Construction Shift","","","data/scenarios/shock_runs/shock_14_run.RDS","data/scenarios/shock_tables/shock_14_table.csv"
