"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",0,0,-0.01,0,0,0
"Macroeconomic","va",0,-0.01,-0.01,0,0,0
"Macroeconomic","go",0,0,0,0,0,0
"Macroeconomic","id",0,0,0,0,0,0
"Macroeconomic","gdef",0.61,10.27,256.24,-12.72,41.9,22.79
"Macroeconomic","cab",-0.37,-0.41,-0.52,-0.37,-0.41,-0.52
"Macroeconomic","tb",-0.22,-0.2,-0.18,-0.22,-0.2,-0.18
"Social","n",0,0,0,0,0,0
"Social","nf",0,0,0,0,0,0
"Social","shp",-0.02,-0.02,-0.03,0,0,0
"Social","shw",0.01,0.01,0.01,0,0,0
"Debt.and.Wealth","lh",0,0,0,0,0,0
"Debt.and.Wealth","lf",0.01,0.04,0.07,0,0,0
"Debt.and.Wealth","v",0,-0.01,-0.02,0,0,0
"Debt.and.Wealth","k",0,0,0,0,0,0
"Debt.and.Wealth","b_s",0,0,0.03,0,0,-0.01
"Ecological","x_mat",0.22,0.21,0.21,0.01,0.01,0.01
"Ecological","land",0.27,0.27,0.26,0,0,0
"Ecological","mat",0.01,0.01,0,0,0,0
"Ecological","rec",0.51,0.51,0.51,0.02,0.02,0.02
"Ecological","emis",0.27,0.27,0.26,0,0,0
"Ecological","wa",0,0,0,0,0,0
"Ecological","water",0.27,0.27,0.26,0,0,0
