"shock","domain","shift","display_name","endpoint","sector"
1,"Household Consumption","Diet","Scenario 1: Household Consumption - Diet","from",7
1,"Household Consumption","Diet","Scenario 1: Household Consumption - Diet","to",8
2,"Household Consumption","Energy","Scenario 2: Household Consumption - Energy","from",31
2,"Household Consumption","Energy","Scenario 2: Household Consumption - Energy","to",32
3,"Production","Wood","Scenario 3: Production - Wood","from",11
3,"Production","Wood","Scenario 3: Production - Wood","to",12
4,"Production","Pulp","Scenario 4: Production - Pulp","from",13
4,"Production","Pulp","Scenario 4: Production - Pulp","to",14
5,"Production","Plastics","Scenario 5: Production - Plastics","from",17
5,"Production","Plastics","Scenario 5: Production - Plastics","to",18
6,"Production","Metal","Scenario 6: Production - Metal","from",26
6,"Production","Metal","Scenario 6: Production - Metal","to",27
7,"Production","Glass","Scenario 7: Production - Glass","from",21
7,"Production","Glass","Scenario 7: Production - Glass","to",22
8,"Production","Cement","Scenario 8: Production - Cement","from",24
8,"Production","Cement","Scenario 8: Production - Cement","to",25
9,"Production","Energy","Scenario 9: Production - Energy","from",31
9,"Production","Energy","Scenario 9: Production - Energy","to",32
10,"Production","Construction","Scenario 10: Production - Construction","from",36
10,"Production","Construction","Scenario 10: Production - Construction","to",37
