"row","col"
"EU.Agriculture","EU.Manufacture.of.textiles"
"EU.Animal Farming","EU.Manufacture.of.textiles"
"EU.Forestry, logging and related service activities (02)","EU.Manufacture.of.textiles"
"EU.Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","EU.Manufacture.of.textiles"
"EU.Extraction of Fossil-Fuels","EU.Manufacture.of.textiles"
"EU.Mining & Quarrying of raw materials","EU.Manufacture.of.textiles"
"EU.Processing of meat","EU.Manufacture.of.textiles"
"EU.Processing of other food&beverage","EU.Manufacture.of.textiles"
"EU.Manufacture of tobacco products (16)","EU.Manufacture.of.textiles"
"EU.Manufacture of textiles","EU.Manufacture.of.textiles"
"EU.Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","EU.Manufacture.of.textiles"
"EU.Re-processing of secondary wood material into new wood material","EU.Manufacture.of.textiles"
"EU.Pulp","EU.Manufacture.of.textiles"
"EU.Re-processing of secondary paper into new pulp","EU.Manufacture.of.textiles"
"EU.Paper","EU.Manufacture.of.textiles"
"EU.Processing of Fossil Fuels","EU.Manufacture.of.textiles"
"EU.Plastics, basic","EU.Manufacture.of.textiles"
"EU.Re-processing of secondary plastic into new plastic","EU.Manufacture.of.textiles"
"EU.Manufacture of Chemicals","EU.Manufacture.of.textiles"
"EU.Manufacture of rubber and plastic products (25)","EU.Manufacture.of.textiles"
"EU.Manufacture of glass and glass products","EU.Manufacture.of.textiles"
"EU.Re-processing of secondary glass into new glass","EU.Manufacture.of.textiles"
"EU.Manufacture of other non-metallic mineral products","EU.Manufacture.of.textiles"
"EU.Manufacture of cement, lime and plaster","EU.Manufacture.of.textiles"
"EU.Re-processing of ash into clinker","EU.Manufacture.of.textiles"
"EU.Manufacture of Metals","EU.Manufacture.of.textiles"
"EU.Re-processing of Metals","EU.Manufacture.of.textiles"
"EU.Manufacture of durable goods","EU.Manufacture.of.textiles"
"EU.Manufacture of furniture; manufacturing n.e.c. (36)","EU.Manufacture.of.textiles"
"EU.Recycling","EU.Manufacture.of.textiles"
"EU.Production of electricity by fossil fuels","EU.Manufacture.of.textiles"
"EU.Production of electricity by renewable energy","EU.Manufacture.of.textiles"
"EU.Transmission & Distribution","EU.Manufacture.of.textiles"
"EU.Manufacture of gas; distribution of gaseous fuels through mains","EU.Manufacture.of.textiles"
"EU.Water","EU.Manufacture.of.textiles"
"EU.Construction (45)","EU.Manufacture.of.textiles"
"EU.Re-processing of secondary construction material into aggregates","EU.Manufacture.of.textiles"
"EU.Agriculture","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Animal Farming","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Forestry, logging and related service activities (02)","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Extraction of Fossil-Fuels","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Mining & Quarrying of raw materials","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Processing of meat","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Processing of other food&beverage","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of tobacco products (16)","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of textiles","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Re-processing of secondary wood material into new wood material","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Pulp","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Re-processing of secondary paper into new pulp","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Paper","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Processing of Fossil Fuels","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Plastics, basic","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Re-processing of secondary plastic into new plastic","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of Chemicals","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of rubber and plastic products (25)","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of glass and glass products","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Re-processing of secondary glass into new glass","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of other non-metallic mineral products","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of cement, lime and plaster","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Re-processing of ash into clinker","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of Metals","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Re-processing of Metals","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of durable goods","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of furniture; manufacturing n.e.c. (36)","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Recycling","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Production of electricity by fossil fuels","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Production of electricity by renewable energy","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Transmission & Distribution","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Manufacture of gas; distribution of gaseous fuels through mains","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Water","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Construction (45)","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Re-processing of secondary construction material into aggregates","EU.Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)"
"EU.Agriculture","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Animal Farming","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Forestry, logging and related service activities (02)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Extraction of Fossil-Fuels","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Mining & Quarrying of raw materials","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Processing of meat","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Processing of other food&beverage","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of tobacco products (16)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of textiles","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of secondary wood material into new wood material","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Pulp","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of secondary paper into new pulp","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Paper","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Processing of Fossil Fuels","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Plastics, basic","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of secondary plastic into new plastic","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of Chemicals","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of rubber and plastic products (25)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of glass and glass products","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of secondary glass into new glass","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of other non-metallic mineral products","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of cement, lime and plaster","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of ash into clinker","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of Metals","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Re-processing of Metals","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of durable goods","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Manufacture of furniture; manufacturing n.e.c. (36)","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Recycling","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Production of electricity by fossil fuels","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Production of electricity by renewable energy","EU.Manufacture.of.rubber.and.plastic.products.(25)"
"EU.Transmission & Distribution","EU.Manufacture.of.rubber.and.plastic.products.(25)"
