shock,domain,sector,transaction,shift,from,to,mechanism,conserved,display_name,shock_vars,shock_sectors,rds_file,table_file
1,Final Demand,Household,Consumption,Food,7,8,Final demand reallocation,Total food expenditure,Scenario 1: Household Consumption - Diet,"beta-7,beta-8","7,8",/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_1_run.RDS,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_tables/shock_1_table.csv
2,Final Demand,Household,Consumption,Energy,31,32,Final demand reallocation,Energy service demand,Scenario 2: Household Consumption - Energy,"beta-31,beta-32","31,32",/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_2_run.RDS,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_tables/shock_2_table.csv
3,Final Demand,Government,Consumption,Cement,24,25,Final demand reallocation,,,,,,
4,Final Demand,Government,Consumption,Plastics,17,18,Final demand reallocation,,,,,,
5,Final Demand,Firm,Investment,Cement,24,25,Final demand reallocation,,,,,,
6,Final Demand,Firm,Investment,Plastics,17,18,Final demand reallocation,Total wood material input,Scenario 3: Production - Wood,NA,NA,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_3_run.RDS,
7,Intermediate Demand,Firm,Production,Wood,11,12,Technical coefficient change,Paper output,Scenario 4: Production - Pulp,NA,NA,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_4_run.RDS,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_tables/shock_3_table.csv
8,Intermediate Demand,Firm,Production,Pulp,13,14,Technical coefficient change,Plastic product output,Scenario 5: Production - Plastics,NA,NA,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_5_run.RDS,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_tables/shock_4_table.csv
9,Intermediate Demand,Firm,Production,Plastics,17,18,Technical coefficient change,Metal product output,Scenario 6: Production - Metal,NA,NA,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_6_run.RDS,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_tables/shock_5_table.csv
10,Intermediate Demand,Firm,Production,Metal,26,27,Technical coefficient change,Glass product output,Scenario 7: Production - Glass,NA,NA,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_7_run.RDS,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_tables/shock_6_table.csv
11,Intermediate Demand,Firm,Production,Glass,21,22,Technical coefficient change,Cementitious output,Scenario 8: Production - Cement,NA,NA,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_8_run.RDS,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_tables/shock_7_table.csv
12,Intermediate Demand,Firm,Production,Cement,24,25,Technical coefficient change,Energy service to production,Scenario 9: Production - Energy,NA,NA,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_9_run.RDS,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_tables/shock_8_table.csv
13,Intermediate Demand,Firm,Production,Energy,31,32,Technical coefficient change,Construction output,Scenario 10: Production - Construction,NA,NA,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_10_run.RDS,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_tables/shock_9_table.csv
14,Intermediate Demand,Firm,Production,Construction,36,27,Technical coefficient change,,,,,,/Users/parvulesco/Documents/R/LEEDS_MODEL/data/shock_tables/shock_10_table.csv
