"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",-0.02,-0.02,-0.03,0,0.01,0.01
"Macroeconomic","va",-0.02,-0.02,-0.03,0,0.01,0.01
"Macroeconomic","go",-0.02,-0.02,-0.02,0.01,0.01,0.01
"Macroeconomic","id",-0.01,-0.02,-0.02,0,0.01,0.01
"Macroeconomic","gdef",-1.92,-2.1,-2.26,-1.37,-1.85,-2.28
"Macroeconomic","cab",-0.65,-0.72,-0.87,-0.65,-0.72,-0.87
"Macroeconomic","tb",-0.42,-0.39,-0.37,-0.42,-0.39,-0.37
"Social","n",-0.02,-0.02,-0.02,0,0.01,0.01
"Social","nf",-0.02,-0.02,-0.02,0,0.01,0.01
"Social","shp",0.02,0.02,0.02,0,0,0
"Social","shw",-0.01,-0.01,-0.01,0,0,0
"Debt.and.Wealth","lh",0,0,-0.01,0,0,0
"Debt.and.Wealth","lf",0,-0.04,-0.06,0,0.01,0.01
"Debt.and.Wealth","v",0,-0.01,-0.02,0,0,0.01
"Debt.and.Wealth","k",0,-0.01,-0.02,0,0,0.01
"Debt.and.Wealth","b_s",0.01,0.05,0.17,0,-0.01,-0.03
"Ecological","x_mat",-0.05,-0.05,-0.05,0,0,0
"Ecological","land",-0.05,-0.05,-0.06,0.02,0.03,0.03
"Ecological","mat",0.02,0.02,0.02,0.01,0.01,0.01
"Ecological","rec",-0.15,-0.15,-0.15,-0.02,-0.02,-0.02
"Ecological","emis",-0.05,-0.05,-0.06,0.02,0.03,0.03
"Ecological","wa",-0.02,-0.02,-0.03,0.01,0.01,0.01
"Ecological","water",-0.05,-0.05,-0.06,0.02,0.03,0.03
