"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",0.01,0.06,0.14,-0.02,-0.03,-0.04
"Macroeconomic","va",0.05,0.08,0.12,-0.03,-0.03,-0.04
"Macroeconomic","go",-0.06,-0.04,0,-0.02,-0.03,-0.04
"Macroeconomic","id",-0.03,-0.04,-0.01,-0.01,-0.02,-0.04
"Macroeconomic","gdef",-7.9,-134.63,-3362.12,166.69,-549.44,-299.07
"Macroeconomic","cab",4.87,5.36,6.84,4.87,5.36,6.84
"Macroeconomic","tb",2.91,2.68,2.32,2.91,2.68,2.32
"Social","n",-0.06,-0.04,0,-0.02,-0.03,-0.04
"Social","nf",-0.06,-0.04,0,-0.02,-0.03,-0.04
"Social","shp",0.24,0.29,0.33,-0.01,-0.01,-0.01
"Social","shw",-0.14,-0.16,-0.19,0.01,0.01,0.01
"Debt.and.Wealth","lh",0,0,0.02,0,0,-0.01
"Debt.and.Wealth","lf",-0.16,-0.59,-0.94,0,-0.02,-0.04
"Debt.and.Wealth","v",0.04,0.13,0.27,-0.01,-0.02,-0.04
"Debt.and.Wealth","k",-0.01,-0.03,-0.01,0,-0.02,-0.03
"Debt.and.Wealth","b_s",0,-0.05,-0.38,0.01,0.05,0.18
"Ecological","x_mat",-2.83,-2.81,-2.77,-0.1,-0.11,-0.12
"Ecological","land",-3.51,-3.48,-3.44,-0.05,-0.06,-0.06
"Ecological","mat",-0.12,-0.1,-0.06,-0.02,-0.03,-0.03
"Ecological","rec",-6.71,-6.7,-6.66,-0.26,-0.26,-0.26
"Ecological","emis",-3.51,-3.48,-3.44,-0.05,-0.06,-0.06
"Ecological","wa",-0.06,-0.04,0,-0.03,-0.03,-0.04
"Ecological","water",-3.51,-3.48,-3.44,-0.05,-0.06,-0.06
