"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",0.64,0.68,0.68,-0.02,-0.01,-0.01
"Macroeconomic","va",-0.03,0.01,0.01,-0.02,-0.01,-0.01
"Macroeconomic","go",-0.17,-0.13,-0.13,-0.02,-0.01,-0.01
"Macroeconomic","id",-0.34,-0.13,-0.13,-0.01,-0.01,-0.01
"Macroeconomic","gdef",56.43,-55.27,-698.24,150.39,-146.31,-59.21
"Macroeconomic","cab",3.24,0.89,1.12,3.24,0.89,1.12
"Macroeconomic","tb",1.09,0.24,0.25,1.09,0.24,0.25
"Social","n",-0.24,-0.2,-0.2,-0.02,-0.01,-0.01
"Social","nf",-0.24,-0.2,-0.2,-0.02,-0.01,-0.01
"Social","shp",0.09,0.15,0.15,-0.01,0,0
"Social","shw",-0.05,-0.08,-0.09,0.01,0,0
"Debt.and.Wealth","lh",-0.02,-0.01,0,0,0,0
"Debt.and.Wealth","lf",-0.89,-1.02,-1.08,0,-0.01,-0.01
"Debt.and.Wealth","v",0.13,0.13,0.13,-0.01,-0.01,-0.01
"Debt.and.Wealth","k",-0.09,-0.12,-0.13,0,-0.01,-0.01
"Debt.and.Wealth","b_s",0.17,0.14,0.06,0.01,0.02,0.05
"Ecological","x_mat",-0.86,-0.82,-0.82,-0.02,0,0
"Ecological","land",-1.03,-0.99,-0.99,-0.02,-0.01,-0.01
"Ecological","mat",-1.57,-1.51,-1.51,-0.03,-0.01,-0.01
"Ecological","rec",0.16,0.18,0.17,0,0.02,0.02
"Ecological","emis",-1.03,-0.99,-0.99,-0.02,-0.01,-0.01
"Ecological","wa",-0.19,-0.15,-0.15,-0.02,-0.01,-0.01
"Ecological","water",-1.03,-0.99,-0.99,-0.02,-0.01,-0.01
